post_title,post_text,label
"What are you watching and what do you recommend? (Week of June 19, 2026)",,recommendation
"Don't Understand the hype around Attack on Titan","I’m 5 episodes in and I just don’t get how these episodes are rated anything above 7. There is just overly dramatic music and loud dialogues. What am I missing?",opinion
"After rewatching Jentry Chau vs. the Underworld, I still think it deserved more room to grow","I recently rewatched Jentry Chau vs. the Underworld, and it reminded me why I still want one more season. I’m not saying the show was perfect.",opinion
"What are the best love stories in TV history?",,opinion
"Jimmy Kimmel taps Rosie O'Donnell as rotating guest host during two-month hiatus",,news
"'Devil May Cry' Renewed for Third and Final Season at Netflix",,news
"Since 2020, 2/3rds of all Star Wars media released requires seeing The Clone Wars animated show.","Lifelong Star Wars fan here - never got into the Clone Wars show, have tried time and time again but have neither the nostalgia or the patience to sit through it. From what I've seen, it's not bad but it's simply not for me and too long.",opinion
"I just had a flashback in my mind to Kaos and got mad all over again at Netflix for canceling such a brilliant show after only 8 episodes","😡",opinion
"HBO’s ‘Task’ Sets All-Women Directing Team For Season 2",,news
"I miss supernatural shows","So anyone miss supernatural shows,specifically stuff like Buffy,Charmed,Angel,Originals,Vampire Diaries,Supernatural or X Files,genuinely feels like this genre is dead right now,why do u think that is and would you love to see a comeback?",opinion
"Flintstone spinoff TV schedule confirmed as MeTV Toons expands classic cartoon lineup",,news
"What is your favorite series finale?","My favorite is The Sopranos finale i know that the finale is a bit controversial but i love it and imo is a perfect finale for the series.",opinion
"Clarkson's Farm officially back in production for Series 6 as Jeremy admits 'bit of a year'",,news
"The Lincoln Lawyer axed as Netflix cancels 11 shows from its roster",,news
"Biggest TV Drunks of All Time","TV characters can often have a legacy defined by certain traits or behaviors. In your opinion, who is the biggest TV drunk of all time? For me it's trailer park supervisor Jim Lahey, from Trailer Park Boys. With Frank Gallagher of Shameless a close second.",opinion
"Aubrey Plaza Confirms ‘Kevin’ Has Been Canceled at Prime Video After One Season",,news
"What is your favorite pre-2000 TV episode?","My #1 would have to be Frasier's "The Innkeepers" (S2E23). The way the plot snowballs is just amazing and hilarious. They ended up referencing the episode multiple times later in the show because of how good the episode was.",opinion
"Dexter","Great show. Tied with Shameless as my favorite Showtime series. Haven’t watched the newer series that was released. What did you all think of Dexter?",opinion
"What is the general audiences opinion on FROM?","I have never came across a show with such polarising views. For me personally, FROM is a perfect example of decline in writing standards. The show begins with a great premise and keeps the tension building for the first two seasons and makes you yearn for the answers.",opinion
"Huge TV episodes that "changed everything" for their respective shows?","My example: "All Hell Breaks Loose" in "Charmed" (Season 3, Episode 22)

The Halliwell Sisters get exposed as witches to the entire world, causing a national media frenzy.",opinion
"Why Netflix Canceled 'The Boroughs' (Exclusive)",,news
"Some lesser known show recommendations from a tv addict","Hey guys, I'm always on the lookout for new shows and love when someone recommends something on here that I haven't heard of, so after discovering a ton of great shows through this subreddit, I thought I would try to return the favor.",recommendation
"Like Dropout and Crunch Roll - what at are the small or niche streaming services you recommend?","Everyone knows Netflix and Disney+. But what are other streaming services that people may not have heard of but that you recommend - and what content do they have?",recommendation
"What are you watching and what do you recommend? (Week of February 15, 2019)",,recommendation
"What are you watching and what do you recommend? (Week of July 21, 2023)",,recommendation
"‘Outer Banks’ Fifth and Final Season Gets a Premiere Date, Reveals First Look",,news
""The Good Place" is one of the most overrated shows of all time",,opinion
"What are times when one actor is clearly the draw and a show without them just doesn’t work?","Hey all.

Like after Steve Carell left The Office, it clearly was not as good.",opinion
"Is Yellowstone Worth the Watch?","I'm looking for a new show to watch. Is this series worth the hype?",recommendation
"What’s the best fictional show that did a live episode? Not sports or reality, but a show normally taped and aired later that decided to do a live episode.",,opinion
"Which spinoff show was the most successful?","So Star Trek: The Next Generation spawned two directly connected spinoffs on its own and 4 movie sequels. Plus you could say it inspired all the other later Trek shows.",opinion
"Netflix's The Polygamist is incredible","I'm on episode 12, so no spoiler going forward but so far, the show blew me away. I usually don't get too involved in Netflix's top 10 shows as they tend to kinda fade away and are not that good in my opinion.",opinion
"What’s a TV show you started with low expectations that completely blew you away?",,opinion
"What are you watching and what do you recommend? (Week of September 26, 2025)",,recommendation
"Widow's Bay is a transcendental piece of art that must be seen by everyone","I was skeptical of all the praise but after seeing Hideo Kojima gush over it I pulled the trigger and man, best decision I ever made. This is seriously one of the best shows I've ever seen, no exaggeration.",opinion
"People over 50, which pre-1990 TV shows should people under 35 watch at least once?",,recommendation
"‘Widow’s Bay’ Renewed for Season 2, Creator Katie Dippold Inks Apple TV Overall Deal",,news
"Were any lessons learnt with Doctor Who?","A big deal was made about representation. But doesn't the demise of the show teach us that we want to be entertained. Not preached to?",opinion
"What's a short-lived television show you're surprised people still talk about?","Take Netflix's Inside Job, for example. The show only ran for one season (18 episodes split into two parts) and was initially renewed for a second season before Netflix famously pulled a UNO reverse card and canceled it anyway.",opinion
"‘Doctor Who’ Set To Be Off Air For Years Amid A Creative Regeneration That’s Failing To Spark Early Enthusiasm Among Producers",,news
"Lots of the same shows being recommended - what are your all time favourite shows that never seem to get recommended?",,recommendation
"Any suggestions for a television show to help lift my spirits?","I'm super stressed right now and I feel myself slipping into a state of depression, which is rare for me. Any ideas on tv shows that can help pick me up?",recommendation
